teacher_id,resume_year,highest_edu_degree,highest_edu_department,highest_edu_school,highest_edu_graduation_year,experience,teaching_interests,research_interests,discipline,ADM,ED,SER,PA1-1&IP1-1,PA1-2,PA1-3,PA1-4,PA1-5,PA1-6,PA1-7&IP1-3,PA1-8&SP1-3,SP1-1,SP1-2,IP1a,IP1-2,IP1-4,IP1-5
102064,2021,PhD,,,1997,"Assistant Professor,  1998/8 - 2001/7
Department of Business Administration, National Yunlin University of Science and Technology                            
Associate Researcher 1989/7 – 1991/8
Industrial Economics Research Center, Industrial Technology Research Institute",1. Economics of Technology and Innovation                                    2. Strategic Management                                                                                3. Total Innovation Management,1. Patent Policy and Management                                                                       2. Competitive Dynamics and Innovation Study                                                      3. Environmental Innovation Policy                                                                              4. Value Capture Strategy,,1,0,1,0,1.0,0,0,1,1,0,1,1,0,0,0,0,0
102102,2021,PhD,,,2000,"1.      Assistant Professor, National Chengchi University, 2001 – 2009  Associate Professor, National Chengchi University,2009~now","Numerical Methods for Financial Engineering, Advanced Quantative Methods, and Advanced Investment Theories","Real Option, Pricing and hedging of derivative securities, and Mathematical Finance",,0,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
102104,2021,PhD,,,2000,"Assistant Professor, National Chengchi University, Department of International Trade, 2001-now  
University of Illinois at Urbana-Champaign, Department of Business Administration RA, TA, Instructor                                         
Assistant Professor, National Chengkung University, The Institute of International Business, 2000-2001","International Business Management, Environment of International Enterprise, Special Topics in International Business","International Business, Strategic Management",,0,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0
102105,2021,PhD,,,2000,"1. Assistant Professor, National Chengchi University, Department of Money and Banking, 2001 – 2013
2. Associate Professor, National Chengchi University, 2013– now","Economic Theory, Money and Banking, and Financial Institutions Management","Auction Theory, Financial Economics",,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
102106,2021,PhD,,,1996,"1.Professor, Department of Accounting, National Chengchi University, 2009-present
2.Associate Professor, Department of Accounting, National Chengchi University, 2001-2009","Intermediate Accounting, Seminar on Accounting Issues, Seminar in Advanced Auditing Theories
Directed Study: Analytical Analysis of Disclosure and Cost of Capital, Fundamental Accounting, 
Empirical Accounting Research","Financial Accounting, Auditing, Corporate governance, Cost and Management Accounting
Empirical Accounting",,0,0,1,0,1.0,0,0,1,0,1,1,1,0,0,0,0,0
102107,2021,PhD,,,1993,"1. Professor, Department of Finance, National Chengchi University, 2001-now
2. Director of EMBA, Commerce College, National Chengchi University.
3. Vice President, Takming University of Science and Technology,2005.08~2008.07
4.Professor, Department of Finance, National Central University, 1999-2001
5.Department Chair, Department of Finance, National Central University, 1998- 2001
6.Associate Professor, Department of Financer, National Central University, 1993-1999","Investments, Corporate Finance, Market Microstructure, Security Markets","Market Microstructure, Corporate Finance, Investments, Security, Derivative Instruments And Markets",,0,0,1,0,1.0,0,1,1,1,1,1,1,0,1,0,0,0
102108,2021,PhD,,,1997,"1.Chairman, Department of Finance, National Chengchi University, 2007.8-2009.8
2.Professor, Department of Finance, National Chengchi University, 2005.8-now
3.Associate Professor, Department of Finance, National Chengchi University, 2002-2005.7  
4.Assistant Professor, Department of Finance, National Chengchi University, 2001-2002  
5.Assistant Professor, Department of Finance, National Chung Hsing University, 2000-2001  
6.Assistant Professor, Department of Finance, National Chung Cheng University, 1997-2000","International Financial Management, Financial Management, Econometrics, Bank Financial Management","Exchange Rate Volatility Forecast, Exchange Rate Market Microstructure, High Frequency Exchange Rate Modeling",,0,0,1,0,0.0,0,0,1,0,1,1,1,0,1,0,0,0
102306,2021,PhD,,,2002,"Professor, Department of Management Information Systems, National Chengchi University, 2015.07-now
Associate Professor, Department of Management Information Systems, National Chengchi University,2009-2015.07
Assistant Professor, Department of Management Information Systems, National Chengchi University,2003-2009
Lead Consultant, BNF Consulting, Australia, 1996-2003
Research Associate, Department of Information Systems, University of Melbourne, 2001-2003
Consulting Manager, IBM Worldwide Consulting Group, 1993-1996
Consulting Manager, MIS Manager, KPMG Peat Marwick, Taiwan,1990-1993
Project leader, EDP Specialist, EDP Auditor, Program Analyst, American Institute of Certified Public Accountants, New York, 1985-1990","Business Innovation, Enterprise Systems, Business Process Management, Strategic Planning and Management","Business Innovation, Enterprise Systems, Business Process Management, Strategic Planning and Management",,0,0,1,0,1.0,0,0,1,0,0,1,1,0,0,0,0,0
102349,2021,PhD,,,1998,"Assistant Professor, National Tsing-Hua University, Department of Quantitative Finance, 2000-2002. 
Lecturer, University of Technology, Sydney, School of Finance and Economics, 1998-2000.","Computational Finance, Financial Econometrics, Financial Time Serious Analysis","Financial Time Series Analysis, Computational Finance, Financial Econometrics",,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0
102380,2021,PhD,,,2002,"1. Associate Professor, Department of Accounting, National Chengchi University, 2010-present
2.Assistant Professor, Department of Accounting, National Chengchi University, 2002-present","Fundamental Accounting, Seminar in advanced Accounting","Financial Accounting, Managerial Accounting, Taxation",,0,0,1,0,0.0,0,0,1,0,0,1,1,0,0,0,0,0
102657,2021,PhD,,,1994,"政治大學資訊科學系/資訊管理系合聘教授
政大商學院金融科技研究中心副主任，智能合約實驗室執行長",區塊鏈與智能合約，金融科技，軟體工程與程式語言,區塊鏈與智能合約，金融科技，軟體工程與程式語言,,0,0,1,0,1.0,0,0,1,1,0,1,1,0,0,0,0,0
102700,2021,PhD,,,2003,"Fall, 2020.02-Now, Professor, Department of Management Information Systems, National Chengchi University, Taipei 116, Taiwan
Fall, 2009-Spring, 2019.01 Associate Professor, Department of Management Information Systems, National Chengchi University, Taipei 116, Taiwan 
Fall, 2003–Spring, 2009 Assistant Professor, Department of Management Information Systems, National Chengchi University, Taipei 116, Taiwan 
Fall, 2001– Fall, 2002 Instructor for BADM 392: Database Management Systems, (Core IS course in the University of Illinois Business School BBA curriculum) Department of Business Administration, University of Illinois at Urbana-Champaign, IL 61820 
Fall, 1998–Spring, 2001 Research Assistant, Department of Business Administration, University of Illinois at Urbana-Champaign, IL 61820 
Spring, 1998 IT Specialist, Department of System Integration, International Business Machines Corp. (IBM), Taiwan 
Fall, 1995-Spring, 1996 Teach Assistant, Department of International Business, National Chengchi University, Taipei 116, Taiwan","IT strategy, Digital Innovation, E-Commerce, Service Science","IT strategy, Digital Innovation, E-Commerce, Service Science",,0,1,1,0,1.0,0,0,1,0,0,1,1,0,0,0,0,0
102702,2021,PhD,,,1993,"1. Professor, National Chenchi University, 2003 – now
2. Professor, National Taipei University, 2001 – 2003
3. Associate Professor, National Taipei University, 2000 – 2001
4. Associate  Professor, National Chung Shing University, 1993 - 2000.
5. Lecturer, Soochow University, 1986 – 1988
6. Teaching Assistant, National Chung Shing University, 1983 - 1986","Probability, Mathematical Statistics, Linear Model, Multivariate Analysis, Regression","Application of Importance Sampling, Multivariate Analysis, Tests for Hypotheses about Linear Inequalities",,0,0,0,0,0.0,0,1,1,0,0,1,1,0,0,0,1,0
102703,2021,PhD,,,1997,"1. Professor, Department of Accounting, National Chengchi University, 2003-present                                                                                                          2. Professor, Department of Accounting, National Chung Cheng University, 2000-2003","Fundamental Accounting, Accounting Topics Workshop, Seminar in Advanced Financial Accounting
Seminar on Accounting Issues, Financial Disclosure Policy,
Directed Study: Regional Research of Analyst Forecasts","Financial Accounting, Financial Statement Analysis, Earnings Management, Intangible Asset
Earnings Forecast",,0,0,1,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0
102809,2021,Master,,,1978,"Associate Professor, Department of Accounting, National Chengchi University, 2003-present",Taxation,Taxation,,0,0,0,0,0.0,0,0,0,1,0,1,1,1,1,1,1,1
103673,2021,Master,,,1987,"Associate Professor, Department of Accounting, National Chengchi University, 2004-present",Taxation,Taxation,,0,0,0,0,1.0,1,0,1,1,0,1,1,1,1,1,1,1
103897,2021,PhD,,,1997,"1. Dean, College of Commerce, National Chengchi Univ., Taiwan (2017/8~)
2. Deputy Dean, College of Commerce, National Chengchi Univ., Taiwan (2014/8~2017/7)
3. Fulbright Visiting Scholar, University of California at Berkeley, USA (2012/8~ 2013/7)
4. Chairperson, Department of Business Administration, National Chengchi University, Taiwan(2010/8~2012/7)
5. Associate Dean, College of Commerce, National Chengchi Univ., Taiwan (2008/8~2010/7)
6. Director , Center for Service Innovation, College of Commerce, National Chengchi University University (2009/07 ~2010/7 )
7. Distinguished Professor, National Chengchi University, Taiwan (2008/8~present)
8. Professor, National Chengchi University, Taiwan (2007/8~present)
9. Associate Professor, National Chengchi University, Taiwan (2004/8~2007/7)
10. Associate Professor, National Chiao Tung University, Taiwan (2002/8~2004/7)
11.Assistant Professor, National Taiwan Univ. of Science and Technology (1997/8~2002/7)","HR Research Method (Doctoral), Seminar in Organizational Behavior (Doctoral), Human Resource Management (MBA), Training in Organizations (MBA and Undergraduate), Human Resource Management (Undergraduate)","Job Interviews, Recruitment and Applicant Attraction, Mood at work, Service Workers’Affective Delivery",,0,1,1,0,1.0,0,1,1,0,1,1,1,0,0,0,0,0
103902,2021,PhD,,,1999,"教授 國立政治大學國際貿易學系
研究員  國立政治大學商學院國際經濟組織暨法律研究中心
委員    行政院農業委員會野生動物保育諮詢委員會（第九屆）
委員    行政院經濟部貿易調查委員會（第八屆）
委員    行政院內政部營建署區域計畫委員會
副董事長  太平洋經濟合作理事會中華民國委員會（第八屆）
顧問    行政院國家永續發展委員會生物多樣性分組
顧問    行政院國家永續發展委員會科技與評估組
顧問    經濟部國貿局「我國參與國際經貿事務專案小組貿易與環境工作分組」 
校外諮詢委員   台大法學院亞洲WTO暨國際衛生法律與政策研究中心
校外諮詢委員   台大法學院環境永續政策與法律研究中心","International Economic and Trade Law International Environmental Law, Development Studies, Environment Study","International Trade law, Seminars on International Economic law (I)",,0,0,1,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0
103903,2021,PhD,,,1998,"1.Senior Industrial Advisor, European Bank for  Reconstruction and Development 2005- present
2.Assistant Professor, National Taipei University of Technology, 2002 -2004
3.Adjunct Assistant Professor, National Chiao Tung University, 2003-2004
4.Project Manager, Plan C Corporation, USA, 2001-2002
5.Senior Supply Chain Analyst, Motorola, USA, 1999-2001
6.Visiting Assistant Professor, Arizona State University, 1999-1999","Management Science, Operations Management, Quantitative Analysis","Supply Chain Management, Operations Management, Applications of Management Science in Services",,0,1,1,0,1.0,0,0,1,0,0,1,1,0,0,0,0,0
104849,2021,PhD,,,2005,"1. Associate Professor, Department of Finance, National Chengchi University, 2013-now
2. Assistant Professor, Department of Finance, National Chengchi University, 2005-2013","Econometrics, Financial Time Series","Financial Economics, Mathematical and Quantitative Methods, International Economics",,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
104856,2021,PhD,,,1988,"1. Professor, National Chengchi University, Department of Banking, 2005 – now
2. Professor, National Chaio Tung University, Department of Information and Finance Management, 2004-2005.
3. Professor, Tamkang University, Department of Economics, 1998-2004.
4. Associate Professor, Tamkang University, Department of Economics, 1989-1998.","Econometrics, Efficiency and Productivity Analysis, Principles of Economics, Microeconomics, Labor Economics","Applied Econometrics, Microeconomics, Labor Economics, Efficiency and Production Analysis",,0,0,1,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0
104912,2021,PhD,,,2007,"Associate Professor, Department of Business Management, National Taipei University of Technology, Taiwan  
Professor, Department of Business Administration, Tamkang University, Taiwan
Guest Professor, Global MBA, HOSEI University, Japan
Guest Professor, School of Management, IAE Lyon, France.","Information Management
Service Innovation in Management
Digital Transformation and Buiness Models
Database Management","Artificial Intelligence
Sentiment Analsis
Sharing Economy",,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
104973,2021,PhD,,,2005,"1. Visiting Scholar in Imperical College (2012-2013)                                      2. Assistant Professor (2005-2010)                                                                                      3. Independent Director (2011-2017)                                                                                               4. Consultant of Wen-Sin Co. (2011-2017)
5. Secretary General, Secretariat, National Chengchi University (NCCU), Taiwan (2017-2018)
6. Associate Director, Executive MBA, NCCU","Strategic Management, Business Policy, International Business Management, Industry and Competition Analysis, General Management","Strategic Management, Technology and Innovation Management, International Business, Knowledge Management",,0,1,1,0,1.0,1,0,1,1,0,1,1,0,0,0,1,0
105859,2021,PhD,,,2000,1.Assistant Professor at Iowa State University (8/15/2001-5/15/2006),"Nonparametric Statistics, Mathematical Statistics",Nonparametric Bayesian Inference,,1,0,1,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0
105894,2021,PhD,,,1997,"Chair, Department of Marketing, California State University, San Marcos, 2004 – Present
Associate Professor of Marketing, California State University San Marcos, 1996 – Present
Teaching Assistant, State University of New York at Buffalo, 1995 – 1996
Research Assistant, State University of New York at Buffalo, 1990 – 1995
Director, Berlitz Language Center, Chicago, Illinois, 1988 – 1990","Consumer Behavior
Global Marketing
Marketing Research","Global Marketing
Cross Cultural Marketing
Consumer Behavior
Marketing Education
Marketing Research",,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0
105921,2021,PhD,,,2003,"資訊工業策進會產業情報研究所(MIC)所長 (2008 - 迄今) 
行政院國家發展基金審議委員 (2006.11 - 迄今) 
經濟部工業局審核科技事業評估委員會常務及專案委員(2007 - 迄今) 
經濟部顧問(2011 - 迄今) 
臺灣亞太產業分析師專業協進會(APIAA)理事長 (2009 - 2011) 
經濟部技術處台灣智慧資本研究專案計畫主持人(2002.1 - 2005.12)
經濟部技術處產業技術資訊計畫資訊分項計畫主持人(1993.1 - 1996.12) 
資訊工業策進會資訊市場情報中心(MIC)主任 (1999.2 - 2007.12) 
財政部國稅局研發及人才培訓支出適用投資抵減疑義案件諮詢委員(2009.3–2012. 2) 
資訊工業策進會資訊市場情報中心產業分析師、專案經理、資訊硬體研究組組長、資訊工業策進會美國矽谷辦事處資深產業研究員、軟體研究組組長、副主任",高科技產業分析、策略規劃,高科技產業分析、策略規劃,,1,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,0
105923,2021,PhD,,,1988,"1.Associate Professor, National Chengchi University, 1995 - now                                                                                                                                                                                 2. Associate Professor, National Taiwan Ocean University, 1989 - 1995","Marine Insurance, Arbitration Law, Insurance Law","Marine Insurance, Arbitration Law, Insurance Law",,0,0,1,0,0.0,0,1,1,0,0,1,1,0,0,0,0,0
106855,2021,PhD,,,1977,"Founder, Peak Capital Group., Inc..
Managing investment company investing in US market
EMBA professor at National Chiao Tung University, National Cheng Chi University, University of Southern Australia, teaching Special Topics on Profit Model and financial analysis
CEO: Hong Kong Industrial Technology Center Corporation, Hong Kong
Director of RAND Corporation of Hong Kong Science and Technology University
Listing committee member for GEM board stock market in Hon Kong
Vice President: Digital Equipment Corporation, Maynard, Mass. USA. Responsible for networking and personal computer business worldwide",Special Topics on Profit Models,Special Topics on Profit Models,,0,1,0,0,0.0,1,0,0,1,1,0,0,1,1,1,1,0
107009,2021,PhD,,,1999,"Professor 2007/08 - present
Professor & Department Head  2012/02 - 2013/07
Associate Professor & Head 2011/08 - 2012/01
Graduate Institute of Technology and Innovation, National Chengchi University
Associate Professor 2007/08 - 2012/01
The Logistics Institute Asia Pacific, NUS-Georgia Institute of Technology
Fellow, 2006/04 - 2007/06
NUS Business School (Decision Science), National University of Singapore
Assistant Professor, 1999/08 - 2007/07
Centre for Creativity and Strategic Change, Warwick Business School
Research Associate, 1996/07 - 1999/07
Institute for Information Industry
1992/05 - 1994/05","1. Case Study
2. Innovative Teaching
3. ActionOriented Teaching","1.  Quantive Research 
2.  Innovation and Diffusion
3.  IT-enabled Business Innovation and Organizational Change
4. Media Innovation
5. City Innovation",,0,1,1,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0
107022,2021,PhD,,,2007,"1. Associate Professor, National Chengchi University, Department of Money and Banking, 2013 ~now
2. Assistant Professor, National Chengchi University, Department of Money and Banking, 2007 - 2013","International Economics, Financial Management","Asset Pricing, International Economics, Applied Econometrics",,0,0,0,0,0.0,0,1,1,0,0,1,0,0,0,0,0,0
107704,2021,PhD,,,1992,The General Manager of KPMG Sustainability Consulting Co.,"CSR, corporate sustainability strategy and carbon management","CSR, corporate sustainability strategy and carbon management",,1,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,0
107799,2021,PhD,,,2004,"Director of Research and Investment Management of Research Affiliates LLC, 2004-Current
Pension Asset-Liability Project Consultant of  Farmer’s Insurance, 2001-2004
Vice President of Derivative Research and Trading of Far Eastern Securities, Taiwan (1998-1999)
International Finance (currency, fixed-income, international financial and monetary institutions, currency and interest rate derivatives)
Theory of Finance (corporate finance, valuation, investment theory, real options, fixed income)
Security Analysis (portfolio theory, valuation, investment theory)
Advanced Topics in Finance (dynamic asset allocation, pension and mutual fund industry structure, etc.)","1. International Finance (currency, fixed-income, international financial and monetary institutions, currency and interest rate derivatives)
2. Theory of Finance (corporate finance, valuation, investment theory, real options, fixed income)
3. Security Analysis (portfolio theory, valuation, investment theory)
4. Advanced Topics in Finance (dynamic asset allocation, pension and mutual fund industry structure, etc.)","Macroeconomics
International Finance
Asset Pricing
Anomalies in Equity Returns
Portfolio Choice",,1,0,1,0,1.0,1,0,0,0,1,1,1,0,1,0,1,0
107924,2021,PhD,,,2003,"Chief, National Chengchi University, Office of Student Affairs and Alumni Services.(2014/08/01-2015/07/01)                                              Professor, National Chengchi University, Department of Business Administration. (2011.08.01-NOW)                                                                            Associate Professor, National Chengchi University (2008/08/01-2011/08/01)_",Organizational Behavior、Leadership and Motivation、Human Resource Management,Measurement Methodology、Employee Satisfaction Survey、Organizational Climate Survey、Mentoring,,1,1,1,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0
